country	region	region_orig	Dif.region_region_orig	regionhash	habitatcode	presence	habitatgroup	annex_I_priority	annex_I_priority_comment
AT	ALP	ALP	TRUE	c3395276b34994ec41cbf0309b826d96	7140	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	35f0b24992964d94e02e2f3eb28c2aaf	7140	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	ea08707cc3d0cc7f04e66ac9b438cdc8	7150	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	51b3c26a9bb9b1aef1da602686a5a74c	7150	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	5e5631a30e5e36dd904fb956ff382e70	7210	1	"Bogs, mires & fens"	Y	
AT	CON	CON	TRUE	6230f7e839964269c6776da82df429c5	7210	1	"Bogs, mires & fens"	Y	
AT	ALP	ALP	TRUE	ddb9200135c572bfbc451de72780baa4	7220	1	"Bogs, mires & fens"	Y	
AT	CON	CON	TRUE	1ffbc504010a9883cbe5946509739879	7220	1	"Bogs, mires & fens"	Y	
AT	ALP	ALP	TRUE	7a348110c68b5835aa42952b89d65fb8	7230	1	"Bogs, mires & fens"	N	
AT	CON	CON	TRUE	ec73d279042beb7d30a18fed570fcaa6	7230	1	"Bogs, mires & fens"	N	
AT	ALP	ALP	TRUE	d613bf7ef97f37c25517f863785490c3	7240	1	"Bogs, mires & fens"	Y	
AT	ALP	ALP	TRUE	90379c7ccd71c973c62d4952e89826ef	8110	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	2b89a4edcf21fefe11f507ce726378af	8120	1	Rocky habitats	N	
AT	ALP	ALP	TRUE		8130	SR	Rocky habitats	N	
AT	ALP	ALP	TRUE	b260658777c29bcc80e844cec75c47e7	8150	1	Rocky habitats	N	
AT	CON	CON	TRUE	1fb5bd0ee63acada3c2515f01bb41590	8150	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	016e479de2530ce659412d5efaf87bae	8160	1	Rocky habitats	Y	
AT	CON	CON	TRUE	0d7df7cabc5c327d1f2dc804fbfb1d61	8160	1	Rocky habitats	Y	
AT	ALP	ALP	TRUE	ad013f7b374c7b786ebe034416e5201a	8210	1	Rocky habitats	N	
AT	CON	CON	TRUE	33bbd9de517634450d47ccd1fde19e8b	8210	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	0cacb42247c92c3a2b9260d8f746b0b7	8220	1	Rocky habitats	N	
AT	CON	CON	TRUE	666eb8941443cb9345d2a2c85e4d8137	8220	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	3fb0070183e986025c3c43088ee2bb36	8230	1	Rocky habitats	N	
AT	CON	CON	TRUE	de630404f3e636486ccce68a4bec4470	8230	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	1ad0d1559ee30464ae8a8ab9fb43edc3	8240	1	Rocky habitats	Y	
AT	ALP	ALP	TRUE	7a3d047a3511aa26321197cf7c28cddd	8310	1	Rocky habitats	N	
AT	CON	CON	TRUE	8901937adbc307a14758f57ed85abf32	8310	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	2ee482bf88e6063e902898a09d2c1196	8340	1	Rocky habitats	N	
AT	ALP	ALP	TRUE	a28e64c74b2580b03178e6b357e93f7a	9110	1	Forests	N	
AT	CON	CON	TRUE	6822da56be1d7cbfc1952daf6f150a40	9110	1	Forests	N	
AT	ALP	ALP	TRUE	903dff5f4cc8e8dcae63c61f68a2e4f1	9130	1	Forests	N	
AT	CON	CON	TRUE	b8b8f1bfee40aa9afc2fbbf1b16634d2	9130	1	Forests	N	
AT	ALP	ALP	TRUE	bacb4ff521723d6ac4af2e5ba5ad553f	9140	1	Forests	N	
AT	CON	CON	TRUE	26309d42319120e8f71a616527c979fa	9140	1	Forests	N	
AT	ALP	ALP	TRUE	0a67c81a328d34ac6ccc4fd718b8d095	9150	1	Forests	N	
AT	CON	CON	TRUE	28681bf174688ba2a248a3c21be0bd46	9150	1	Forests	N	
AT	ALP	ALP	TRUE	95d00dbb3f90cad56f8dcb8535715403	9160	1	Forests	N	
AT	CON	CON	TRUE	a4a94d3cca5734dada82ff3936a37cd6	9160	1	Forests	N	
AT	ALP	ALP	TRUE	2beae55f0a200eb7151a4c2f63b6d480	9170	1	Forests	N	
AT	CON	CON	TRUE	3b0b82f996a9936d1747285abab58a10	9170	1	Forests	N	
AT	ALP	ALP	TRUE	263f37cf92dc88b38a57a94d64ea787c	9180	1	Forests	Y	
AT	CON	CON	TRUE	dd12e9c3eef3b0f8f70f99bc73d7dc9e	9180	1	Forests	Y	
