"country","region","habitatcode","habitatgroup"
"BG","CON","8210","Rocky habitats"
"BG","ALP","8220","Rocky habitats"
"BG","BLS","8220","Rocky habitats"
"BG","CON","8220","Rocky habitats"
"BG","ALP","8230","Rocky habitats"
"BG","BLS","8230","Rocky habitats"
"BG","CON","8230","Rocky habitats"
"BG","ALP","8310","Rocky habitats"
"BG","BLS","8310","Rocky habitats"
"BG","CON","8310","Rocky habitats"
"BG","MBLS","8330","Rocky habitats"
"BG","ALP","9110","Forests"
"BG","CON","9110","Forests"
"BG","ALP","9130","Forests"
"BG","CON","9130","Forests"
"BG","ALP","9150","Forests"
"BG","BLS","9150","Forests"
"BG","CON","9150","Forests"
"BG","ALP","9170","Forests"
"BG","BLS","9170","Forests"
"BG","CON","9170","Forests"
"BG","ALP","9180","Forests"
"BG","BLS","9180","Forests"
"BG","CON","9180","Forests"
"BG","ALP","91AA","Forests"
"BG","BLS","91AA","Forests"
"BG","CON","91AA","Forests"
"BG","ALP","91BA","Forests"
"BG","CON","91BA","Forests"
"BG","ALP","91CA","Forests"
"BG","CON","91CA","Forests"
"BG","ALP","91D0","Forests"
"BG","CON","91D0","Forests"
"BG","ALP","91E0","Forests"
"BG","BLS","91E0","Forests"
"BG","CON","91E0","Forests"
"BG","BLS","91F0","Forests"
"BG","CON","91F0","Forests"
"BG","ALP","91G0","Forests"
"BG","BLS","91G0","Forests"
"BG","CON","91G0","Forests"
"BG","ALP","91H0","Forests"
"BG","BLS","91H0","Forests"
"BG","CON","91H0","Forests"
"BG","ALP","91I0","Forests"
"BG","BLS","91I0","Forests"
"BG","CON","91I0","Forests"
"BG","ALP","91M0","Forests"
"BG","BLS","91M0","Forests"
"BG","CON","91M0","Forests"
"BG","BLS","91S0","Forests"
"BG","CON","91S0","Forests"
"BG","ALP","91W0","Forests"
"BG","CON","91W0","Forests"
"BG","ALP","91Z0","Forests"
"BG","BLS","91Z0","Forests"
"BG","CON","91Z0","Forests"
"BG","ALP","9260","Forests"
"BG","CON","9260","Forests"
"BG","ALP","9270","Forests"
"BG","CON","9270","Forests"
"BG","ALP","92A0","Forests"
"BG","BLS","92A0","Forests"
"BG","CON","92A0","Forests"
"BG","ALP","92C0","Forests"
"BG","CON","92C0","Forests"
"BG","ALP","92D0","Forests"
"BG","BLS","92D0","Forests"
"BG","CON","92D0","Forests"
"BG","ALP","9410","Forests"
"BG","CON","9410","Forests"
"BG","ALP","9530","Forests"
"BG","CON","9530","Forests"
"BG","ALP","9560","Forests"
"BG","CON","9560","Forests"
"BG","ALP","95A0","Forests"
"BG","CON","95A0","Forests"
"CY","MMED","1110","Coastal habitats"
"CY","MMED","1120","Coastal habitats"
"CY","MMED","1170","Coastal habitats"
"CY","MMED","1180","Coastal habitats"
"CY","MED","1210","Coastal habitats"
"CY","MED","1240","Coastal habitats"
"CY","MED","1310","Coastal habitats"
"CY","MED","1410","Coastal habitats"
"CY","MED","1420","Coastal habitats"
"CY","MED","1430","Coastal habitats"
"CY","MED","1520","Coastal habitats"
"CY","MED","2110","Dunes habitats"
"CY","MED","2230","Dunes habitats"
"CY","MED","2240","Dunes habitats"
"CY","MED","2250","Dunes habitats"
"CY","MED","2260","Dunes habitats"
"CY","MED","3140","Freshwater habitats"
"CY","MED","3150","Freshwater habitats"
"CY","MED","3170","Freshwater habitats"
"CY","MED","3290","Freshwater habitats"
"CY","MED","5210","Sclerophyllous scrubs"
"CY","MED","5330","Sclerophyllous scrubs"
"CY","MED","5420","Sclerophyllous scrubs"
"CY","MED","6220","Grasslands"
"CY","MED","62B0","Grasslands"
"CY","MED","6420","Grasslands"
"CY","MED","6460","Grasslands"
"CY","MED","8140","Rocky habitats"
"CY","MED","8210","Rocky habitats"
"CY","MED","8220","Rocky habitats"
"CY","MED","8310","Rocky habitats"
"CY","MMED","8330","Rocky habitats"
"CY","MED","9290","Forests"
"CY","MED","92A0","Forests"
"CY","MED","92C0","Forests"
"CY","MED","92D0","Forests"
"CY","MED","9320","Forests"
"CY","MED","9390","Forests"
"CY","MED","93A0","Forests"
"CY","MED","9530","Forests"
"CY","MED","9540","Forests"
"CY","MED","9560","Forests"
"CY","MED","9590","Forests"
"CZ","CON","1340","Coastal habitats"
"CZ","PAN","1340","Coastal habitats"
"CZ","CON","2330","Dunes habitats"
"CZ","PAN","2330","Dunes habitats"
"CZ","CON","3130","Freshwater habitats"
"CZ","PAN","3130","Freshwater habitats"
"CZ","CON","3140","Freshwater habitats"
"CZ","PAN","3140","Freshwater habitats"
"CZ","CON","3150","Freshwater habitats"
"CZ","PAN","3150","Freshwater habitats"
"CZ","CON","3160","Freshwater habitats"
"CZ","CON","3220","Freshwater habitats"
"CZ","CON","3230","Freshwater habitats"
"CZ","CON","3240","Freshwater habitats"
"CZ","CON","3260","Freshwater habitats"
"CZ","PAN","3260","Freshwater habitats"
"AT","CON","3130","Freshwater habitats"
"AT","ALP","3140","Freshwater habitats"
"AT","CON","3140","Freshwater habitats"
"AT","ALP","3150","Freshwater habitats"
"AT","CON","3150","Freshwater habitats"
"AT","ALP","3160","Freshwater habitats"
"AT","CON","3160","Freshwater habitats"
"AT","ALP","3220","Freshwater habitats"
"AT","CON","3220","Freshwater habitats"
"AT","ALP","3230","Freshwater habitats"
"AT","ALP","3240","Freshwater habitats"
"AT","CON","3240","Freshwater habitats"
"AT","ALP","3260","Freshwater habitats"
"AT","CON","3260","Freshwater habitats"
"AT","ALP","3270","Freshwater habitats"
"AT","CON","3270","Freshwater habitats"
"AT","ALP","4030","Heath & scrub"
"AT","CON","4030","Heath & scrub"
"AT","ALP","4060","Heath & scrub"
"AT","ALP","4070","Heath & scrub"
"AT","ALP","4080","Heath & scrub"
"AT","CON","40A0","Heath & scrub"
"AT","ALP","5130","Sclerophyllous scrubs"
"AT","CON","5130","Sclerophyllous scrubs"
"AT","ALP","6110","Grasslands"
"AT","CON","6110","Grasslands"
"AT","ALP","6130","Grasslands"
"AT","CON","6130","Grasslands"
"AT","ALP","6150","Grasslands"
"AT","ALP","6170","Grasslands"
"AT","CON","6170","Grasslands"
"AT","ALP","6190","Grasslands"
"AT","CON","6190","Grasslands"
"AT","ALP","6210","Grasslands"
"AT","CON","6210","Grasslands"
"AT","ALP","6230","Grasslands"
"AT","CON","6230","Grasslands"
"AT","ALP","6240","Grasslands"
"AT","CON","6240","Grasslands"
"AT","CON","6250","Grasslands"
"AT","CON","6260","Grasslands"
"AT","ALP","6410","Grasslands"
"AT","CON","6410","Grasslands"
"AT","ALP","6430","Grasslands"
"AT","CON","6430","Grasslands"
"AT","CON","6440","Grasslands"
"AT","ALP","6510","Grasslands"
"AT","CON","6510","Grasslands"
"AT","ALP","6520","Grasslands"
"AT","CON","1530","Coastal habitats"
"AT","CON","2340","Dunes habitats"
"AT","ALP","3130","Freshwater habitats"
"AT","CON","6520","Grasslands"
"AT","ALP","7110","Bogs, mires & fens"
"AT","CON","7110","Bogs, mires & fens"
"AT","ALP","7120","Bogs, mires & fens"
"AT","CON","7120","Bogs, mires & fens"
"AT","ALP","7130","Bogs, mires & fens"
"AT","ALP","7140","Bogs, mires & fens"
"AT","CON","7140","Bogs, mires & fens"
"AT","ALP","7150","Bogs, mires & fens"
"AT","CON","7150","Bogs, mires & fens"
"AT","ALP","7210","Bogs, mires & fens"
"AT","CON","7210","Bogs, mires & fens"
"AT","ALP","7220","Bogs, mires & fens"
"AT","CON","7220","Bogs, mires & fens"
"AT","ALP","7230","Bogs, mires & fens"
"AT","CON","7230","Bogs, mires & fens"
"AT","ALP","7240","Bogs, mires & fens"
"AT","ALP","8110","Rocky habitats"
"AT","ALP","8120","Rocky habitats"
"AT","ALP","8150","Rocky habitats"
"AT","CON","8150","Rocky habitats"
"AT","ALP","8160","Rocky habitats"
"AT","CON","8160","Rocky habitats"
"AT","ALP","8210","Rocky habitats"
"AT","CON","8210","Rocky habitats"
"AT","ALP","8220","Rocky habitats"
"AT","CON","8220","Rocky habitats"
"AT","ALP","8230","Rocky habitats"
"AT","CON","8230","Rocky habitats"
"AT","ALP","8240","Rocky habitats"
"AT","ALP","8310","Rocky habitats"
"AT","CON","8310","Rocky habitats"
"AT","ALP","8340","Rocky habitats"
"AT","ALP","9110","Forests"
"AT","CON","9110","Forests"
"AT","ALP","9130","Forests"
"AT","CON","9130","Forests"
"AT","ALP","9140","Forests"
"AT","CON","9140","Forests"
"AT","ALP","9150","Forests"
"AT","CON","9150","Forests"
"AT","ALP","9160","Forests"
"AT","CON","9160","Forests"
"AT","ALP","9170","Forests"
"AT","CON","9170","Forests"
"AT","ALP","9180","Forests"
"AT","CON","9180","Forests"
"AT","CON","9190","Forests"
"AT","ALP","91D0","Forests"
"AT","CON","91D0","Forests"
